packet_length,ttl,protocol,src_port,dst_port
54,113,6,443,51249
66,113,6,443,51249
54,113,6,443,51249
157,113,6,443,51249
518,113,6,443,51249
54,128,6,51249,443
78,128,6,51249,443
54,128,6,51249,443
54,113,6,443,51249
54,113,6,443,51249
212,1,17,53935,1900
563,64,17,54756,53935
65,56,6,4070,63308
322,64,17,1900,53935
54,128,6,63308,4070
164,128,6,60910,8009
164,64,6,8009,60910
54,128,6,60910,8009
85,1,17,5353,5353
105,0,0,5353,5353
212,1,17,53935,1900
563,64,17,59042,53935
78,242,6,443,64731
54,128,6,64731,443
322,64,17,1900,53935
85,1,17,5353,5353
105,0,0,5353,5353
85,128,17,54195,53
85,128,17,60306,53
139,64,17,53,54195
212,1,17,53935,1900
188,64,17,53,60306
1292,128,17,62703,443
1292,128,17,62703,443
563,64,17,60351,53935
82,56,17,443,62703
1292,56,17,443,62703
1292,56,17,443,62703
209,128,17,62703,443
1288,128,17,62703,443
1175,128,17,62703,443
626,56,17,443,62703
163,56,17,443,62703
74,128,17,62703,443
69,56,17,443,62703
65,56,17,443,62703
73,128,17,62703,443
475,56,17,443,62703
78,128,17,62703,443
66,56,17,443,62703
322,64,17,1900,53935
79,55,6,443,53368
83,128,6,53368,443
60,55,6,443,53368
164,128,6,63324,8009
119,56,17,443,59838
164,64,6,8009,63324
74,128,17,59838,443
54,128,6,63324,8009
66,128,6,51250,53
66,128,6,51251,53
66,64,6,53,51250
66,64,6,53,51251
54,128,6,51250,53
54,128,6,51251,53
56,128,6,51250,53
86,128,6,51250,53
56,128,6,51251,53
86,128,6,51251,53
54,64,6,53,51250
54,64,6,53,51250
54,64,6,53,51251
54,64,6,53,51251
104,64,6,53,51250
54,128,6,51250,53
54,64,6,53,51250
54,128,6,51250,53
54,128,6,51251,53
1292,128,17,63708,443
1292,128,17,63708,443
119,128,17,63708,443
1288,128,17,63708,443
1292,128,17,63708,443
431,128,17,63708,443
113,128,17,63708,443
157,64,6,53,51251
54,64,6,53,51251
82,57,17,443,63708
1292,57,17,443,63708
54,128,6,51251,53
161,128,17,63708,443
1292,57,17,443,63708
350,57,17,443,63708
984,57,17,443,63708
123,57,17,443,63708
66,57,17,443,63708
120,128,17,63708,443
73,128,17,63708,443
162,128,17,63708,443
167,57,17,443,63708
65,57,17,443,63708
73,128,17,63708,443
71,57,17,443,63708
836,57,17,443,63708
252,57,17,443,63708
77,128,17,63708,443
71,128,17,59838,443
1288,57,17,443,63708
395,57,17,443,63708
67,57,17,443,63708
121,57,17,443,63708
1288,57,17,443,63708
1292,57,17,443,63708
77,128,17,63708,443
73,128,17,63708,443
77,128,17,63708,443
230,128,17,63708,443
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
243,128,17,63708,443
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
1292,57,17,443,63708
73,128,17,63708,443
73,128,17,63708,443
73,128,17,63708,443
1292,57,17,443,63708
1292,57,17,443,63708
937,57,17,443,63708
73,128,17,63708,443
65,57,17,443,63708
70,57,17,443,63708
73,128,17,63708,443
66,56,17,443,59838
212,1,17,53935,1900
563,64,17,50896,53935
1292,128,17,60964,443
1292,128,17,60964,443
1292,128,17,60964,443
122,128,17,60964,443
389,57,17,443,63708
245,57,17,443,63708
77,128,17,63708,443
1288,57,17,443,63708
700,57,17,443,63708
244,57,17,443,63708
77,128,17,63708,443
82,56,17,443,60964
82,56,17,443,60964
1292,56,17,443,60964
1292,56,17,443,60964
66,57,17,443,63708
1292,56,17,443,60964
342,56,17,443,60964
992,56,17,443,60964
85,56,17,443,60964
120,128,17,60964,443
73,128,17,60964,443
1288,128,17,60964,443
1292,128,17,60964,443
533,128,17,60964,443
189,128,17,60964,443
66,56,17,443,60964
74,128,17,63708,443
162,56,17,443,60964
67,56,17,443,60964
67,56,17,443,60964
67,56,17,443,60964
65,57,17,443,63708
75,128,17,63708,443
900,56,17,443,60964
286,56,17,443,60964
77,128,17,60964,443
74,128,17,60964,443
66,56,17,443,60964
71,128,17,59838,443
66,56,17,443,59838
71,128,17,59838,443
66,56,17,443,59838
1292,128,17,49927,443
1292,128,17,49927,443
123,128,17,49927,443
82,57,17,443,49927
1292,57,17,443,49927
1292,57,17,443,49927
348,57,17,443,49927
672,57,17,443,49927
120,128,17,49927,443
73,128,17,49927,443
1288,128,17,49927,443
1292,128,17,49927,443
669,128,17,49927,443
661,128,17,49927,443
673,128,17,49927,443
392,128,17,49927,443
67,57,17,443,49927
162,57,17,443,49927
67,57,17,443,49927
67,57,17,443,49927
67,57,17,443,49927
71,57,17,443,49927
73,128,17,49927,443
913,57,17,443,49927
78,128,17,49927,443
71,128,17,59838,443
66,57,17,443,49927
66,56,17,443,59838
322,64,17,1900,53935
71,128,17,59838,443
66,56,17,443,59838
71,128,17,59838,443
66,56,17,443,59838
71,128,17,59838,443
66,56,17,443,59838
1466,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
646,128,6,51186,443
93,128,6,51186,443
276,128,6,51186,443
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
93,56,6,443,51186
1466,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
313,128,6,51186,443
60,56,6,443,51186
60,56,6,443,51186
66,56,6,443,51186
66,56,6,443,51186
60,56,6,443,51186
550,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
1466,56,6,443,51186
858,56,6,443,51186
93,56,6,443,51186
54,128,6,51186,443
93,128,6,51186,443
89,128,6,51186,443
1157,56,6,443,51186
397,56,6,443,51186
60,56,6,443,51186
54,128,6,51186,443
85,56,6,443,51186
93,56,6,443,51186
54,128,6,51186,443
93,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
644,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
317,128,6,51186,443
60,56,6,443,51186
66,56,6,443,51186
66,56,6,443,51186
66,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
66,56,6,443,51186
66,56,6,443,51186
66,56,6,443,51186
60,56,6,443,51186
1021,56,6,443,51186
482,56,6,443,51186
54,128,6,51186,443
85,56,6,443,51186
93,56,6,443,51186
54,128,6,51186,443
93,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
637,128,6,51186,443
238,128,6,51186,443
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
1024,56,6,443,51186
462,56,6,443,51186
54,128,6,51186,443
85,56,6,443,51186
93,56,6,443,51186
54,128,6,51186,443
93,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
1466,128,6,51186,443
640,128,6,51186,443
238,128,6,51186,443
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
60,56,6,443,51186
1017,56,6,443,51186
367,56,6,443,51186
54,128,6,51186,443
